recording_id,t,ball_id,x,y
rec_1,0.75,6,332.27,77.15
rec_1,0.75,7,321.77,272.18
rec_1,0.75,8,190.84,312.58
rec_1,0.75,9,142.1,261.31
rec_1,0.8,0,217.36,172.3
rec_1,0.8,1,60.96,120.2
rec_1,0.8,2,50.36,36.19
rec_1,0.8,3,342.83,241.11
rec_1,0.8,4,264.64,53.7
rec_1,0.8,5,221.2,110.13
rec_1,0.8,6,337.94,72.24
rec_1,0.8,7,320.95,264.73
rec_1,0.8,8,185.0,307.87
rec_1,0.8,9,137.7,255.24
rec_1,0.85,0,215.8,179.63
rec_1,0.85,1,57.63,113.48
rec_1,0.85,2,54.77,42.26
rec_1,0.85,3,350.26,240.08
rec_1,0.85,4,271.86,51.67
rec_1,0.85,5,213.86,108.56
rec_1,0.85,6,343.61,67.34
rec_1,0.85,7,319.91,257.3
rec_1,0.85,8,179.17,303.16
rec_1,0.85,9,133.29,249.18
rec_1,0.9,0,214.24,186.97
rec_1,0.9,1,54.29,106.77
rec_1,0.9,2,59.19,48.32
rec_1,0.9,3,357.68,238.97
rec_1,0.9,4,279.08,49.64
rec_1,0.9,5,206.53,107.0
rec_1,0.9,6,349.29,62.43
rec_1,0.9,7,318.66,249.91
rec_1,0.9,8,173.33,298.44
rec_1,0.9,9,128.88,243.11
rec_1,0.95,0,212.67,194.31
rec_1,0.95,1,50.96,100.05
rec_1,0.95,2,63.6,54.39
rec_1,0.95,3,365.09,237.83
rec_1,0.95,4,286.3,47.61
rec_1,0.95,5,199.19,105.44
rec_1,0.95,6,354.96,57.52
rec_1,0.95,7,317.28,242.53
rec_1,0.95,8,167.5,293.73
rec_1,0.95,9,124.48,237.04
rec_1,1.0,0,211.11,201.64
rec_1,1.0,1,47.61,93.34
rec_1,1.0,2,68.03,60.44
rec_1,1.0,3,372.5,236.7
rec_1,1.0,4,293.52,45.58
rec_1,1.0,5,191.86,103.87
rec_1,1.0,6,360.63,52.62
rec_1,1.0,7,315.89,235.16
rec_1,1.0,8,161.66,289.02
rec_1,1.0,9,120.07,230.97
rec_1,1.05,0,209.55,208.98
rec_1,1.05,1,44.14,86.69
rec_1,1.05,2,72.58,66.4
rec_1,1.05,3,372.53,235.56
rec_1,1.05,4,300.74,43.54
rec_1,1.05,5,184.52,102.31
rec_1,1.05,6,366.3,47.71
rec_1,1.05,7,314.5,227.79
rec_1,1.05,8,155.83,284.31
rec_1,1.05,9,115.66,224.9
rec_1,1.1,0,207.99,216.31
rec_1,1.1,1,40.47,80.15
rec_1,1.1,2,77.3,72.22
rec_1,1.1,3,365.12,234.43
